State,City,County,Ownership,Use,LocationID,SiteNumber,ARPLatitude,ARPLongitude
AK,BELL ISLAND,KETCHIKAN GATEWAY,PR,PR,KBE,50059.9*C,55-55-44.6810N,131-34-18.0860W
AK,BELUGA,KENAI-COOK INLET,PR,PR,BLG,50059.95*A,61-10-22.6628N,151-02-43.4987W
AK,BETHEL,BETHEL,PU,PU,Z59,50060.2*C,60-46-55.2910N,161-44-35.2640W
AK,BETHEL,BETHEL,PU,PU,BET,50061.1*A,60-46-42.8000N,161-50-13.8000W
AK,BETHEL,BETHEL,PU,PU,Z58,50060.1*C,60-47-48.2930N,161-43-38.2670W
AK,BETTLES,YUKON-KOYUKUK,PU,PU,BTT,50062.*A,66-54-50.2000N,151-31-44.6000W
AK,BETTLES,YUKON-KOYUKUK,PU,PU,2A4,50062.01*C,66-53-57.3100N,151-28-17.5900W
AK,BIG LAKE,MATANUSKA-SUSITNA,PU,PU,D71,50068.65*C,61-34-30.5000N,149-50-51.6000W
AK,BIG LAKE,MATANUSKA-SUSITNA,PU,PU,BGQ,50068.6*A,61-32-10.0400N,149-48-50.0300W
AK,BIG LAKE,MATANUSKA-SUSITNA,PU,PU,6A7,50068.69*C,61-28-54.6200N,149-46-23.6800W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,95AK,50068.681*A,61-28-21.4300N,149-58-56.8900W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,68AK,50068.66*H,61-30-59.6900N,149-55-51.8900W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,9AK7,50068.63*A,61-35-23.3900N,149-48-59.9800W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,08AK,50068.58*A,61-34-10.7000N,149-43-27.9800W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,02AA,50068.5*A,61-30-24.0000N,149-54-43.0000W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,86AK,50068.53*C,61-33-05.1500N,149-56-44.7000W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,AA02,50068.52*C,61-34-17.3300N,149-55-26.8000W
AK,BIG LAKE,MATANUSKA-SUSITNA,PU,PU,L95,50068.67*C,61-33-17.1800N,149-56-21.6100W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,AK86,50068.57*A,61-34-24.7400N,149-54-40.8600W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,91AK,50068.54*C,61-34-35.0000N,149-56-36.0000W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,63AK,50068.64*A,61-35-03.5900N,149-56-17.1600W
AK,BIG LAKE,ALEUTIAN ISLANDS,PR,PR,85AK,50068.*C,61-30-33.0000N,149-54-31.0000W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,20AK,50068.56*A,61-30-13.6400N,149-53-45.7600W
AK,BIG LAKE,ANCHORAGE,PR,PR,AA07,50068.68*H,61-31-17.6700N,149-55-37.7000W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,AK87,50068.61*H,61-30-53.5000N,149-55-44.4400W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,AK95,50068.62*A,61-34-13.3200N,149-46-44.5400W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,09AK,50068.59*A,61-35-21.7000N,149-50-50.4000W
AK,BIG LAKE,MATANUSKA-SUSITNA,PR,PR,AA01,50068.51*C,61-35-05.8600N,149-50-47.5100W
AK,BIG MOUNTAIN,KODIAK ISLAND,MA,PR,37AK,50068.7*A,59-21-40.4880N,155-15-31.7570W
AK,BIRCH CREEK,FAIRBANKS NORTH STAR,PU,PU,Z91,50068.78*A,66-16-28.1000N,145-49-05.5000W
AK,BIRCHWOOD,ANCHORAGE,PU,PU,BCV,50069.*A,61-24-57.4699N,149-30-30.5804W
AK,BLACK RAPIDS,FAIRBANKS NORTH STAR,PU,PU,5BK,50070.*A,63-32-06.5270N,145-51-39.1900W
AK,BOSWELL BAY,CORDOVA-MCCARTHY,PU,PR,AK97,50071.72*A,60-25-23.0310N,146-08-45.2740W
AK,BOUNDARY,UPPER YUKON,PU,PU,BYA,50072.*A,64-04-41.8900N,141-06-48.1500W
AK,BREVIG MISSION,NOME,PU,PU,KTS,50072.5*A,65-19-52.8000N,166-27-56.6000W
AK,BUCK CREEK,NOME,PU,PR,AK98,50073.*A,65-38-19.2190N,167-29-08.9050W
AK,BUCKLAND,UNORGANIZED,PU,PU,BVK,50073.1*A,65-58-53.6000N,161-08-56.9000W
AK,CANDLE,UNORGANIZED,PR,PR,AK75,50075.1*A,65-54-27.5690N,161-55-34.7010W
AK,CANTWELL,MATANUSKA-SUSITNA,PR,PU,TTW,50078.*A,63-23-28.3370N,148-57-20.2190W
AK,CANTWELL,YUKON-KOYUKUK,PR,PR,15AK,50078.12*A,63-22-14.3400N,148-51-01.2100W
AK,CAPE DECISION,WRANGELL-PETERSBURG,PU,PR,CDE,50080.6*H,56-00-07.6070N,134-08-07.2210W
AK,CAPE LISBURNE,BARROW,MA,PR,LUR,50082.*A,68-52-30.4600N,166-06-39.8950W
AK,CAPE NEWENHAM,BETHEL,MA,PR,EHM,50084.*A,58-38-47.1440N,162-03-45.9990W
AK,CAPE POLE,PRINCE OF WALES,PR,PU,Z71,50086.*C,55-57-58.6440N,133-47-48.1960W
AK,CAPE ROMANZOF,WADE HAMPTON,MA,PR,CZF,50088.*A,61-46-54.5105N,166-02-13.0755W
AK,CAPE SARICHEF,ALEUTIAN ISLANDS,PU,PR,26AK,50088.3*A,54-34-56.7520N,164-54-52.1310W
AK,CAPE SPENCER,SKAGWAY-YAKUTAT,PU,PR,CSP,50088.53*H,58-11-56.6470N,136-38-19.7180W
AK,CENTRAL,UPPER YUKON,PU,PU,CEM,50090.*A,65-34-26.2000N,144-46-51.2000W
AK,CHALKYITSIK,UPPER YUKON,PU,PU,CIK,50092.*A,66-38-42.0800N,143-44-23.7490W
AK,CHANDALAR CAMP,UPPER YUKON,PU,PU,5CD,50093.95*A,68-03-55.5820N,149-34-47.0610W
AK,CHANDALAR LAKE,UPPER YUKON,PU,PU,WCR,50094.3*A,67-30-16.2600N,148-28-59.6000W
AK,CHATHAM,SITKA,PR,PU,CYM,50095.*C,57-30-53.7780N,134-56-46.3740W
AK,CHEFORNAK,BETHEL,PU,PU,CFK,50095.12*A,60-08-12.4650N,164-16-44.5750W
