State,City,County,Ownership,Use,LocationID,SiteNumber,ARPLatitude,ARPLongitude
CO,RUSH,LINCOLN,PR,PR,08CO,02716.42*A,38-43-56.9000N,104-02-28.8000W
CO,RUSH,EL PASO,PR,PR,7CO6,02716.43*A,38-45-37.0000N,104-06-05.0000W
CO,RYE,HUERFANO,PR,PR,95CO,02716.8*A,37-52-06.5400N,104-50-08.7000W
CO,SAGUACHE,SAGUACHE,PU,PU,04V,02717.*A,38-05-57.8200N,106-10-27.5800W
CO,SALIDA,CHAFFEE,PR,PR,1CO7,02719.1*A,38-33-04.9890N,105-59-32.0460W
CO,SALIDA,SAGUACHE,PR,PR,CO11,02719.11*A,38-24-58.0000N,106-03-30.0000W
CO,SALIDA,CHAFFEE,PU,PU,ANK,02719.*A,38-32-17.8000N,106-02-55.1000W
CO,SALIDA,CHAFFEE,PR,PR,6CO9,02719.13*H,38-31-57.9890N,105-59-23.0470W
CO,SAN LUIS,COSTILLA,PR,PR,33CO,02723.61*A,37-03-54.0000N,105-27-49.0000W
CO,SILT,GARFIELD,PR,PR,2CD4,02727.*H,39-25-50.0000N,107-37-23.0000W
CO,SILVERTON,SAN JUAN,PR,PR,7CO9,02727.51*H,37-51-10.0000N,107-34-30.9000W
CO,SILVERTON,LA PLATA,PR,PR,CD68,02727.5*H,37-47-59.9880N,107-40-02.2220W
CO,SIMLA,ELBERT,PR,PR,CD15,02728.7*A,39-17-47.0000N,104-07-30.0000W
CO,SOUTH FORK,RIO GRANDE,PR,PR,CD10,02731.*A,37-40-30.0120N,106-33-22.1480W
CO,SOUTH FORK,RIO GRANDE,PR,PR,CD69,02731.1*A,37-44-25.0090N,106-31-32.1460W
CO,SPRINGFIELD,BACA,PU,PU,8V7,02732.*A,37-27-31.4000N,102-37-04.8000W
CO,STEAM BOAT SPRINGS,ROUTT,PR,PR,1CD4,02738.13*A,40-30-33.6000N,106-56-34.9000W
CO,STEAMBOAT SPRINGS,ROUTT,PR,PR,CD99,02738.02*A,40-21-30.0000N,106-49-48.0000W
CO,STEAMBOAT SPRINGS,ROUTT,PR,PR,13CO,02738.14*H,40-33-20.0000N,106-50-40.0000W
CO,STEAMBOAT SPRINGS,ROUTT,PR,PR,81CO,02738.12*A,40-24-22.0000N,106-49-17.0000W
CO,STEAMBOAT SPRINGS,ROUTT,PR,PR,CD70,02738.11*H,40-26-59.9230N,106-44-02.1650W
CO,STEAMBOAT SPRINGS,ROUTT,PR,PR,CD02,02738.1*A,40-45-28.8970N,106-58-19.1860W
CO,STEAMBOAT SPRINGS,ROUTT,PU,PU,SBS,02738.*A,40-30-58.5000N,106-51-58.7000W
CO,STERLING,LOGAN,PR,PR,3CO2,02741.01*A,40-37-02.9420N,103-19-59.7660W
CO,STERLING,LOGAN,PU,PU,STK,02741.*A,40-36-53.8727N,103-15-51.4278W
CO,STERLING,LOGAN,PR,PR,3CO3,02741.02*H,40-36-44.9480N,103-13-11.7530W
CO,STONEWALL,LAS ANIMAS,PR,PR,3CO4,02741.27*A,37-04-15.0700N,105-01-07.0000W
CO,STRASBURG,ADAMS,PR,PR,CO38,02741.44*A,39-44-49.9000N,104-18-46.8000W
CO,STRASBURG,ARAPAHOE,PR,PR,CO97,02741.45*A,39-43-14.9300N,104-19-23.0000W
CO,SWINK,OTERO,PR,PR,09CO,02741.6*A,38-03-20.0280N,103-39-11.8090W
CO,TARRYALL,JEFFERSON,PR,PR,CD21,02741.85*H,39-02-57.9690N,105-30-47.0000W
CO,TELLURIDE,SAN MIGUEL,PR,PR,CO72,02742.1*H,37-56-23.9770N,107-50-55.2300W
CO,TELLURIDE,SAN MIGUEL,PU,PU,TEX,02742.*A,37-57-13.7000N,107-54-31.5000W
CO,TELLURIDE,SAN MIGUEL,PR,PR,CO95,02742.2*A,38-03-09.9700N,107-58-46.2400W
CO,TEXAS CREEK,FREMONT,PR,PR,8CO1,02742.55*H,38-28-40.0000N,105-31-16.0000W
CO,TEXAS CREEK,FREMONT,PR,PR,3CO5,02742.56*H,38-24-34.0000N,105-35-07.0000W
CO,THORNTON,ADAMS,PR,PR,CD22,02742.81*H,39-51-48.9480N,104-59-05.9270W
CO,TRIMBLE,LA PLATA,PR,PR,CD72,02743.8*H,37-21-00.0070N,107-46-02.2300W
CO,TRINIDAD,LAS ANIMAS,PR,PR,CO64,02744.01*H,37-11-15.0660N,104-29-15.9430W
CO,TRINIDAD,LAS ANIMAS,PU,PU,TAD,02744.*A,37-15-33.2030N,104-20-27.1015W
CO,TRINIDAD,LAS ANIMAS,PR,PR,0CD5,02744.02*A,37-29-25.7000N,104-08-38.7000W
CO,TWO BUTTES,BACA,PR,PR,53CO,02745.01*A,37-33-11.0480N,102-23-31.6800W
CO,VAIL,EAGLE,PR,PR,CD74,02747.*H,39-36-59.9490N,106-23-02.1020W
CO,VICTOR,TELLER,PU,PR,3CO9,02748.65*H,38-42-44.9620N,105-08-31.9310W
CO,WALDEN,JACKSON,PR,PR,24CD,02750.02*H,40-34-04.4900N,106-03-38.3300W
CO,WALDEN,JACKSON,PR,PR,CD81,02750.01*H,40-26-59.9320N,106-12-02.0880W
CO,WALDEN,JACKSON,PU,PU,33V,02750.*A,40-45-01.4000N,106-16-17.5000W
CO,WALSENBURG,HUERFANO,PR,PR,64CO,02751.02*A,37-45-20.0000N,104-45-23.0000W
CO,WALSENBURG,HUERFANO,PR,PR,CD48,02751.01*A,37-47-11.0000N,104-35-37.2000W
CO,WALSENBURG,HUERFANO,PR,PR,73CO,02751.05*A,37-45-20.2200N,104-38-48.4100W
CO,WALSENBURG,HUERFANO,PU,PU,4V1,02751.*A,37-41-47.4540N,104-47-05.2271W
CO,WALSH,BACA,PR,PR,4CO3,02752.*A,37-23-30.0570N,102-16-46.6630W
CO,WATERTON,JEFFERSON,PR,PR,4CO1,02755.17*H,39-29-58.9580N,105-06-22.9510W
CO,WATKINS,ARAPAHOE,PR,PR,9CO2,02755.211*A,39-41-45.9480N,104-28-32.8670W
CO,WELLINGTON,WELD,PR,PR,6CO1,02755.81*A,40-46-52.9350N,104-55-02.8980W
CO,WELLINGTON,LARIMER,PR,PR,4CO2,02755.8*G,40-48-16.9380N,104-59-05.9000W
CO,WESTCLIFFE,CUSTER,PR,PR,CO65,02756.1*A,38-02-45.0000N,105-28-17.0130W
CO,WESTCLIFFE,CUSTER,PU,PU,C08,02756.11*A,38-00-40.0060N,105-22-22.0050W
CO,WESTMINSTER,JEFFERSON,PR,PR,CD04,02757.01*H,39-49-14.9500N,105-03-13.9370W
CO,WESTMINSTER,ADAMS,PR,PR,4CO4,02757.*H,39-50-56.9490N,105-01-05.9340W
CO,WHEAT RIDGE,JEFFERSON,PR,PR,4CO6,02757.8*H,39-45-59.9520N,105-05-24.9430W
CO,WHITEWATER,MESA,PR,PR,CD75,02758.02*H,38-53-59.9390N,108-29-02.3210W
CO,WIGGINS,MORGAN,PR,PR,8CO0,02758.75*A,40-14-56.8700N,103-59-41.5500W
CO,WIGGINS,MORGAN,PR,PR,89CO,02758.77*A,40-14-19.9000N,103-59-31.8000W
CO,WOLCOTT,EAGLE,PR,PR,CD77,02760.4*H,39-41-59.9500N,106-46-02.1340W
CO,WOLF CREEK,ARAPAHOE,PR,PR,CD78,02760.8*H,37-40-59.9900N,107-46-02.2310W
CO,WOODLAND PARK,TELLER,PR,PR,CD79,02761.31*H,38-59-06.9710N,104-55-01.9330W
CO,WRAY,YUMA,PR,PR,5CO9,02762.01*H,40-05-08.6470N,102-14-06.7520W
CO,WRAY,YUMA,PR,PR,31CO,02762.03*A,40-01-17.3400N,102-10-30.2700W
CO,WRAY,YUMA,PU,PU,2V5,02762.*A,40-06-01.1640N,102-14-27.4560W
CO,YODER,EL PASO,PR,PR,0CD2,02764.01*A,38-39-09.0000N,104-14-04.2000W
CO,YODER,EL PASO,PR,PR,88CO,02764.*A,38-53-09.9730N,104-14-55.8600W
CO,YUMA,YUMA,PR,PR,8CO8,02765.01*A,40-06-29.9500N,102-43-41.7560W
CO,YUMA,YUMA,PR,PR,8CD0,02765.02*H,40-07-17.0000N,102-44-16.0000W
CO,YUMA,YUMA,PU,PU,2V6,02765.*A,40-06-14.9510N,102-42-46.7530W
CQ,GARAPAN,N MARIANA ISLANDS,PU,PU,C21,51514.*H,15-12-35.0000N,145-43-17.0000E
CQ,GUALO RAL,N MARIANA ISLANDS,PR,PR,TT04,51514.5*H,15-11-18.0000N,145-43-26.0000E
CQ,KOBLERVILLE,N MARIANA ISLANDS,PR,PR,HI63,51523.1*H,15-06-52.0000N,145-42-07.0000E
CQ,ROTA ISLAND,N MARIANA ISLANDS,PU,PU,GRO,51531.*A,14-10-27.6787N,145-14-28.0511E
CQ,SAIPAN ISLAND,N MARIANA ISLANDS,PU,PU,GSN,51523.2*A,15-07-12.9180N,145-43-47.9427E
CQ,SAN JOSE TINIAN,N MARIANA ISLANDS,PR,PR,HI64,51531.01*H,14-57-45.0000N,145-37-49.0000E
CQ,"SAN JOSE, TINIAN",N MARIANA ISLANDS,PR,PR,0TT8,51523.3*H,14-57-48.0000N,145-38-30.0000E
CQ,"SAN JOSE, TINIAN",N MARIANA ISLANDS,PR,PR,HI22,51531.02*H,14-57-36.0000N,145-37-35.0000E
CQ,SAN ROQUE,N MARIANA ISLANDS,PR,PR,TT03,51531.1*H,15-15-00.0000N,145-47-00.0000E
CQ,SHOMU-SHON,N MARIANA ISLANDS,PU,PU,TT01,51533.*A,18-07-28.0000N,145-46-07.0000E
CQ,TINIAN ISLAND,N MARIANA ISLANDS,PU,PU,TNI,51533.1*A,14-59-57.1300N,145-37-09.6600E
CT,ASHFORD/WESTFORD,WINDHAM,PR,PR,CT74,02777.1*A,41-57-02.3480N,072-10-53.2780W
CT,BERLIN,HARTFORD,PR,PR,01CT,02778.*H,41-37-38.2400N,072-43-38.8700W
CT,BETHLEHEM,LITCHFIELD,PR,PR,33CT,02780.01*A,41-36-34.0000N,073-14-23.0000W
CT,BETHLEHEM,LITCHFIELD,PR,PR,5CT5,02780.1*A,41-37-56.3000N,073-12-58.4000W
CT,BETHLEHEM,LITCHFIELD,PR,PR,CT01,02780.*A,41-39-58.3470N,073-11-20.4060W
CT,BLOOMFIELD,HARTFORD,PU,PR,CT05,02783.5*H,41-51-43.3540N,072-41-59.3350W
CT,BOZRAH,NEW LONDON,PR,PR,CT36,02784.5*A,41-33-52.3530N,072-11-50.2840W
CT,BRIDGEPORT,FAIRFIELD,PR,PR,0CT7,02785.01*H,41-11-18.3480N,073-09-58.3990W
CT,BRIDGEPORT,FAIRFIELD,PU,PU,BDR,02785.*A,41-09-48.5000N,073-07-34.2000W
CT,BRIDGEPORT,FAIRFIELD,PR,PR,CT12,02785.02*H,41-12-05.3470N,073-12-06.4060W
CT,BRIDGEPORT,FAIRFIELD,PR,PR,CT37,02785.11*H,41-09-40.3480N,073-12-10.4040W
CT,BRISTOL,HARTFORD,PR,PR,CT03,02788.01*H,41-40-33.4000N,072-56-10.4000W
CT,BRISTOL,HARTFORD,PR,PR,CT96,02788.*A,41-42-30.3530N,072-58-16.3750W
CT,BRISTOL,HARTFORD,PR,PR,CT60,02788.02*H,41-40-30.5700N,072-53-27.9200W
CT,BURLINGTON,HARTFORD,PR,PR,23CT,02791.51*H,41-47-09.2400N,072-55-52.6700W
CT,CHESTER,MIDDLESEX,PR,PU,SNC,02798.3*A,41-23-01.3540N,072-30-20.8340W
CT,COLCHESTER,NEW LONDON,PR,PR,CT07,02798.68*A,41-34-25.3540N,072-18-11.2930W
CT,COVENTRY,TOLLAND,PR,PR,CT09,02798.75*A,41-48-10.3540N,072-23-30.2970W
CT,DANBURY,FAIRFIELD,PR,PR,0CT8,02802.02*H,41-24-20.0000N,073-26-41.0000W
CT,DANBURY,FAIRFIELD,PU,PU,DXR,02802.*A,41-22-17.5000N,073-28-55.9000W
CT,DANIELSON,WINDHAM,PU,PU,LZD,02803.*A,41-49-11.1000N,071-54-03.5000W
CT,DURHAM,MIDDLESEX,PR,PR,CT39,02803.85*A,41-28-06.3520N,072-42-30.3440W
CT,EAST GRANBY,HARTFORD,PR,PR,CT50,02803.86*H,41-56-34.3490N,072-42-22.3340W
CT,EAST HADDAM,MIDDLESEX,PR,PR,CT11,02804.02*A,41-26-38.3540N,072-20-20.2990W
CT,EAST HADDAM,MIDDLESEX,PR,PU,42B,02804.*A,41-26-44.3560N,072-27-20.3130W
CT,EAST HADDAM,MIDDLESEX,PR,PR,CT86,02804.01*H,41-26-02.3550N,072-23-38.3060W
CT,EAST HARTFORD,HARTFORD,PR,PR,CT88,02806.*H,41-45-12.0000N,072-37-42.0000W
CT,EAST KILLINGLY,WINDHAM,PR,PR,CT13,02808.*A,41-53-00.3530N,071-48-58.2540W
CT,EAST WINDSOR,HARTFORD,PR,PR,CT85,02809.2*A,41-53-23.3520N,072-36-54.3230W
CT,EAST WINDSOR HILL,HARTFORD,PR,PR,CT14,02809.4*A,41-52-00.3530N,072-36-58.3240W
CT,EASTFORD,WINDHAM,PR,PR,5CT6,02803.856*U,41-55-10.3000N,072-07-06.3000W
CT,ELLINGTON,TOLLAND,PR,PU,7B9,02810.1*A,41-55-31.5000N,072-27-25.6000W
CT,ELLINGTON,TOLLAND,PR,PR,02CT,02810.21*H,41-55-10.6900N,072-26-40.0400W
CT,ELLINGTON,TOLLAND,PR,PR,CT15,02810.2*A,41-56-43.3490N,072-28-39.3060W
CT,ENFIELD,HARTFORD,PR,PR,CT87,02810.53*C,41-59-54.3460N,072-36-21.3200W
CT,ENFIELD,HARTFORD,PR,PR,CT23,02810.51*H,41-56-24.3490N,072-36-21.3210W
CT,ENFIELD,HARTFORD,PR,PR,CT27,02810.52*H,42-00-14.3460N,072-32-24.3130W
CT,ESSEX,MIDDLESEX,PR,PR,CT16,02810.8*C,41-22-30.3540N,072-22-28.3030W
CT,ESSEX,MIDDLESEX,PR,PR,CT97,02810.81*H,41-19-44.3560N,072-25-41.3110W
CT,FAIRFIELD,FAIRFIELD,PR,PR,CT41,02812.*H,41-13-02.3460N,073-15-19.4150W
CT,FARMINGTON,HARTFORD,PR,PR,CT71,02814.*H,41-42-32.2200N,072-48-07.5600W
CT,FARMINGTON,HARTFORD,PU,PR,CT75,02814.01*H,41-44-00.3590N,072-47-34.3510W
CT,GLASTONBURY,HARTFORD,PR,PR,CT02,02816.49*H,41-38-32.3600N,072-33-48.3200W
CT,GLASTONBURY,HARTFORD,PR,PR,CT38,02816.5*H,41-42-44.3580N,072-35-16.3220W
CT,GOSHEN,LITCHFIELD,PR,PR,CT42,02817.*A,41-51-00.3420N,073-15-58.4170W
CT,GROTON (NEW LONDON),NEW LONDON,PU,PU,GON,02823.*A,41-19-48.2000N,072-02-42.5000W
CT,HAMDEN,NEW HAVEN,PR,PR,CT40,02825.51*H,41-22-11.3490N,072-55-02.3680W
CT,HAMDEN,NEW HAVEN,PR,PR,CT84,02825.5*H,41-22-25.3490N,072-54-31.3670W
CT,HARTFORD,HARTFORD,PR,PR,CT06,02827.01*H,41-47-20.3580N,072-39-38.3310W
CT,HARTFORD,HARTFORD,PR,PR,0CT9,02827.23*H,41-45-16.3600N,072-40-43.3340W
CT,HARTFORD,HARTFORD,PU,PU,HFD,02827.*A,41-44-12.2000N,072-38-58.0000W
CT,HARTFORD,HARTFORD,PR,PR,CT73,02829.02*H,41-43-23.3600N,072-51-36.3600W
CT,HARTFORD,HARTFORD,PR,PR,0CT5,02829.01*H,41-46-28.3590N,072-41-56.3360W
CT,HARWINTON,LITCHFIELD,PR,PR,04CT,02829.3*H,41-45-18.3800N,073-03-08.6400W
CT,HAZARDVILLE,HARTFORD,PR,PR,CT19,02830.6*A,41-58-05.3480N,072-32-23.3130W
CT,JEWETT CITY,NEW LONDON,PR,PR,24CT,02832.01*A,41-34-00.7900N,071-58-00.7800W
CT,JEWETT CITY,NEW LONDON,PR,PR,CT43,02832.*A,41-35-37.3540N,071-55-52.2640W
CT,LITCHFIELD,LITCHFIELD,PR,PR,CT44,02834.*A,41-47-08.3430N,073-18-31.4230W
CT,LYME,NEW LONDON,PR,PR,CT78,02840.*C,41-21-05.3540N,072-21-18.3010W
CT,MARLBOROUGH,HARTFORD,PR,PR,CT20,02843.3*A,41-36-00.3560N,072-25-58.3060W
CT,MARLBOROUGH,HARTFORD,PR,PU,9B8,02843.4*A,41-35-22.3560N,072-26-32.3080W
CT,MASHANTUCKET,NEW LONDON,PR,PR,14CT,02843.7*H,41-29-05.0600N,071-58-22.4100W
CT,MERIDEN,NEW HAVEN,PR,PR,CT21,02844.02*H,41-30-28.3510N,072-46-14.3520W
CT,MERIDEN,NEW HAVEN,PU,PU,MMK,02844.*A,41-30-31.3730N,072-49-46.1220W
CT,MERIDEN,NEW HAVEN,PR,PR,CT95,02844.01*H,41-32-00.3510N,072-48-35.3560W
CT,MIDDLEBURY,NEW HAVEN,PR,PR,CT25,02846.21*H,41-33-26.3470N,073-07-22.3970W
CT,MIDDLETOWN,MIDDLESEX,PR,PR,CT98,02846.61*H,41-33-17.0000N,072-38-46.0000W
CT,MIDDLETOWN,MIDDLESEX,PR,PR,0CT6,02846.62*H,41-35-48.3560N,072-42-16.3410W
CT,MILFORD,FAIRFIELD,PR,PR,CT46,02847.2*H,41-14-04.3490N,073-01-54.3790W
CT,MYSTIC,NEW LONDON,PR,PR,69CT,02852.01*H,41-19-11.7000N,071-59-35.4000W
CT,MYSTIC,NEW LONDON,PR,PR,CT48,02852.*A,41-26-12.3550N,071-55-31.2620W
CT,NANGATUCK,NEW HAVEN,PR,PR,5CT1,02853.6*H,41-30-30.3480N,073-02-14.3860W
CT,NEW BRITAIN,HARTFORD,PU,PR,0CT3,02856.01*H,41-39-41.8570N,072-47-16.3510W
CT,NEW HAVEN,NEW HAVEN,PU,PU,HVN,02858.*A,41-15-49.5000N,072-53-12.5000W
CT,NEW HAVEN,NEW HAVEN,PR,PR,1CT2,02858.01*H,41-18-13.6490N,072-56-08.7680W
CT,NEW MILFORD,LITCHFIELD,PR,PU,6Y2,02861.91*H,41-34-04.3390N,073-27-38.4410W
CT,NEW MILFORD,LITCHFIELD,PR,PU,11N,02861.9*A,41-34-09.0000N,073-27-43.5000W
CT,NEW MILFORD,LITCHFIELD,PR,PR,CT51,02861.8*A,41-32-00.3400N,073-24-58.4350W
CT,NEWTOWN,FAIRFIELD,PR,PR,CT52,02861.95*A,41-22-05.3440N,073-17-28.4200W
CT,NORTH CANAAN,LITCHFIELD,PR,PR,CT24,02862.98*A,42-02-43.3310N,073-20-19.4190W
CT,NORTH HAVEN,NEW HAVEN,PR,PR,CT34,02864.02*H,41-20-18.3490N,072-52-05.3620W
CT,NORWALK,FAIRFIELD,PR,PR,CT56,02865.11*H,41-06-00.3480N,073-25-13.4290W
CT,NORWALK,FAIRFIELD,PR,PR,1CT0,02865.12*H,41-06-46.3480N,073-23-17.4260W
CT,NORWALK,FAIRFIELD,PR,PR,5CT4,02865.13*H,41-06-40.3500N,073-25-18.4300W
CT,NORWALK,FAIRFIELD,PR,PR,9CT1,02865.14*H,41-08-40.2000N,073-25-42.7200W
CT,NORWALK,FAIRFIELD,PR,PR,CT91,02865.*H,41-09-08.3460N,073-25-38.4320W
CT,NORWICH,NEW LONDON,PR,PR,CT93,02866.*H,41-32-31.5000N,072-05-32.2800W
CT,OLD LYME,NEW LONDON,PR,PR,5CT7,02867.*A,41-18-08.4000N,072-17-46.3000W
CT,OXFORD,NEW HAVEN,PU,PU,OXC,02870.3*A,41-28-42.8000N,073-08-06.9000W
CT,PLAINVILLE,HARTFORD,PU,PU,4B8,02880.*A,41-41-21.6000N,072-51-52.9000W
CT,POMFRET,WINDHAM,PR,PR,31CT,02883.*H,41-51-17.1600N,071-55-42.5400W
CT,PORTLAND,MIDDLESEX,PR,PR,CT92,02884.01*H,41-37-22.3570N,072-36-02.3270W
CT,PUTNAM,WINDHAM,PR,PU,C44,02886.1*A,41-57-20.5000N,072-03-15.7000W
CT,ROCKY HILL,HARTFORD,PU,PR,CT28,02887.1*H,41-39-30.3570N,072-38-51.3320W
CT,ROXBURY,LITCHFIELD,PR,PR,CT59,02888.*A,41-33-12.0500N,073-15-40.4300W
CT,SHARON,LITCHFIELD,PR,PR,0CT0,02893.*H,41-52-52.3350N,073-28-51.4430W
CT,SHELTON,FAIRFIELD,PR,PR,CT89,02895.*H,41-16-30.3470N,073-07-58.3960W
CT,SIMSBURY,HARTFORD,PR,PU,4B9,02898.*A,41-54-58.3000N,072-46-37.0000W
CT,SOMERS,TOLLAND,PR,PR,CT53,02903.01*H,42-01-09.3450N,072-29-01.3060W
CT,SOMERS,TOLLAND,PR,PR,CT29,02903.*A,42-00-49.3450N,072-28-22.3050W
CT,SOUTH GLASTONBURY,HARTFORD,PR,PR,5CT3,02906.3*H,41-38-40.3600N,072-34-20.3200W
CT,SOUTH WINDSOR,HARTFORD,PR,PR,CT00,02907.7*H,41-49-55.3500N,072-36-03.2600W
CT,SOUTH WINDSOR,HARTFORD,PR,PR,CT62,02970.71*H,41-48-35.0000N,072-36-35.0000W
CT,SOUTH WOODSTOCK,WINDHAM,PR,PR,64CT,02907.8*A,41-55-17.3510N,071-57-10.2630W
CT,STAMFORD,FAIRFIELD,PR,PR,5CT8,02909.44*H,41-02-38.3500N,073-31-54.4400W
CT,STERLING,WINDHAM,PR,PR,CT10,02910.*H,41-44-33.4700N,071-48-45.0000W
CT,STONINGTON,NEW LONDON,PR,PR,CT80,02912.3*A,41-20-50.3570N,071-53-09.2530W
CT,STRATFORD,FAIRFIELD,PR,PR,JSD,02913.5*H,41-15-12.2300N,073-05-21.9900W
CT,THOMASTON,LITCHFIELD,PR,PU,N09,02914.*H,41-43-25.3490N,073-06-56.3960W
CT,TORRINGTON,LITCHFIELD,PR,PR,05CT,02919.*H,41-46-25.3490N,073-06-58.3960W
CT,TRUMBULL,FAIRFIELD,PR,PR,CT76,02921.*H,41-14-32.3470N,073-09-01.3990W
CT,VOLUNTOWN,NEW LONDON,PR,PR,CT32,02923.*A,41-32-07.3560N,071-50-04.2550W
CT,WALLINGFORD,NEW HAVEN,PR,PR,0CT1,02928.11*H,41-29-05.3510N,072-45-22.3500W
CT,WAREHOUSE POINT,HARTFORD,PR,PU,7B6,02930.*A,41-55-42.3000N,072-34-35.0000W
CT,WASHINGTON,LITCHFIELD,PR,PR,CT66,02931.*A,41-40-00.3450N,073-16-58.4190W
CT,WATERBURY,NEW HAVEN,PR,PR,1CT3,02932.12*H,41-33-06.3480N,073-02-13.3850W
CT,WATERBURY,LITCHFIELD,PR,PU,N41,02932.1*A,41-38-00.3490N,073-02-48.3860W
CT,WILLIMANTIC,WINDHAM,PR,PR,CT69,02944.01*H,41-43-31.3550N,072-11-30.2800W
CT,WILLIMANTIC,WINDHAM,PU,PU,IJD,02944.*A,41-44-38.5000N,072-10-48.8000W
CT,WILLIMANTIC,WINDHAM,PR,PR,0CT2,02944.02*H,41-43-01.3550N,072-13-33.2820W
CT,WINDSOR LOCKS,HARTFORD,PU,PU,BDL,02946.*A,41-56-20.9224N,072-41-00.1366W
CT,WINDSOR LOCKS,HARTFORD,PR,PR,CT35,02946.1*H,41-56-00.3490N,072-41-58.3330W
CT,WINSTED,LITCHFIELD,PR,PR,08CT,02948.1*C,41-53-45.5900N,073-05-35.3300W
CT,YALESVILLE,NEW HAVEN,PR,PU,4C3,02928.16*H,41-29-30.8000N,072-48-40.2000W
DC,WASHINGTON,WASHINGTON,MA,PR,BOF,03005.*H,38-50-34.4060N,077-00-57.9140W
DC,WASHINGTON,WASHINGTON,PR,PR,DC17,03001.22*H,38-55-38.4000N,077-00-50.9140W
DC,WASHINGTON,WASHINGTON,PR,PR,DC09,03006.3*H,38-54-41.4010N,077-04-34.9200W
DC,WASHINGTON,PRINCE WILLIAM,PU,PU,HEF,03003.*A,38-43-15.6831N,077-30-54.3643W
DC,WASHINGTON,WASHINGTON,PU,PR,DC06,03006.10*H,38-56-04.3990N,077-04-27.9190W
DC,WASHINGTON,WASHINGTON,PU,PR,DC16,03001.8*H,38-55-01.4000N,077-02-10.9160W
DC,WASHINGTON,WASHINGTON,PU,PR,DC07,03006.11*H,38-54-54.4010N,076-58-23.9100W
DC,WASHINGTON,WASHINGTON,MR,PR,JPN,03006.4*H,38-52-26.6000N,077-03-27.0000W
DC,WASHINGTON,ARLINGTON,PU,PU,DCA,03001.*A,38-51-06.8987N,077-02-15.7162W
DC,WASHINGTON,WASHINGTON,PR,PR,DC52,03001.7*H,38-56-13.0000N,077-06-38.0000W
DC,WASHINGTON,WASHINGTON,PR,PU,09W,03006.8*H,38-52-07.4040N,077-00-26.9130W
DC,WASHINGTON,WASHINGTON,PR,PR,DC04,03004.*H,38-52-27.4040N,077-01-16.9150W
DC,WASHINGTON,WASHINGTON,PU,PR,DC03,03001.6*H,38-51-59.4040N,076-59-33.9120W
DC,WASHINGTON,LOUDOUN,PU,PU,IAD,03002.*A,38-56-50.8000N,077-27-35.8000W
DC,WASHINGTON,WASHINGTON,PR,PR,DC01,03001.4*H,38-54-15.4020N,077-02-03.9160W
DC,WASHINGTON,WASHINGTON,PR,PR,DC08,03001.21*H,38-55-43.9000N,077-00-59.9000W
DE,BRIDGEVILLE,SUSSEX,PR,PR,DE14,02955.*A,38-44-38.4090N,075-32-05.7280W
DE,CLAYTON,NEW CASTLE,PR,PR,23DE,02963.*A,39-18-45.2400N,075-43-44.3400W
DE,DOVER,KENT,PR,PR,64DE,02967.3*H,39-09-05.0000N,075-31-27.0000W
DE,DOVER,KENT,PR,PU,0N4,02967.2*A,39-12-08.3000N,075-29-07.5000W
DE,DOVER,KENT,PU,PR,DE02,02967.4*H,39-12-00.4030N,075-31-58.7270W
DE,DOVER,KENT,PU,PU,0N5,02967.7*H,39-08-58.4040N,075-30-17.7230W
DE,DOVER,KENT,MA,PR,DOV,02967.*A,39-07-46.3400N,075-27-57.4600W
DE,DOVER,KENT,PR,PR,DE03,02967.6*H,39-11-00.4040N,075-31-28.7260W
DE,DOVER,KENT,PR,PR,DE24,02967.5*H,39-06-41.4050N,075-30-19.7220W
DE,DOVER/CHESWOLD,KENT,PU,PU,33N,02967.1*A,39-13-06.0000N,075-35-48.0000W
DE,FARMINGTON,KENT,PR,PU,D74,02968.5*A,38-50-58.3000N,075-36-46.0000W
DE,FARMINGTON,KENT,PR,PR,2DE2,02968.51*A,38-51-18.1200N,075-34-19.9400W
DE,FELTON,KENT,PR,PR,DE32,02969.02*A,38-58-30.0000N,075-37-00.0000W
DE,FELTON,KENT,PR,PR,DE00,02969.01*A,39-01-14.6000N,075-34-37.5400W
DE,FELTON,KENT,PR,PU,0N6,02969.*A,39-00-46.4000N,075-32-02.3000W
DE,FELTON,KENT,PR,PR,2DE3,02869.5*A,39-00-11.0000N,075-40-57.0000W
DE,GEORGETOWN,SUSSEX,PU,PU,GED,02970.*A,38-41-16.3812N,075-21-30.0534W
DE,GREENWOOD,SUSSEX,PR,PR,DE17,02971.5*A,38-46-40.4080N,075-34-59.7340W
DE,HARTLY,KENT,PR,PR,DE07,02973.*A,39-08-39.4040N,075-41-28.7470W
DE,LAUREL,SUSSEX,PR,PU,N06,02978.*A,38-32-31.8640N,075-35-39.6660W
DE,MAGNOLIA,KENT,PR,PR,DE09,02978.5*A,39-04-05.4050N,075-29-18.7190W
DE,MIDDLETOWN,KENT,PR,PR,1DE5,02981.01*A,39-29-44.0000N,075-44-00.0000W
DE,MIDDLETOWN,KENT,PR,PR,DE33,02981.*A,39-28-58.0000N,075-41-51.0000W
DE,MIDDLETOWN,NEW CASTLE,PR,PU,EVY,02981.1*A,39-31-15.7000N,075-43-25.2000W
DE,MILTON,SUSSEX,PR,PR,DE25,02984.*A,38-46-34.0000N,075-14-01.0000W
