originapt,destapt,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,fare_lg
CAK,OKC,20092,1270,65840,"Akron/Canton, Ohio, USA","Oklahoma City, Oklahoma, USA",957,10.65934066,226.2652577,DL,267.6423404
CAK,MCO,20092,1270,66600,"Akron/Canton, Ohio, USA","Orlando, Florida, USA",860,321.8681319,129.9293855,FL,128.0163387
CAK,PNS,20092,1270,69380,"Akron/Canton, Ohio, USA","Pensacola, Florida, USA",789,24.17582418,175.2229091,FL,159.8205073
CAK,PHL,20092,1270,69880,"Akron/Canton, Ohio, USA","Philadelphia, Pennsylvania, USA",335,42.63736264,200.6011856,US,217.6023667
CAK,PHX,20092,1270,69980,"Akron/Canton, Ohio, USA","Phoenix, Arizona, USA",1754,67.8021978,172.8242464,F9,154.7112108
CAK,PWM,20092,1270,71760,"Akron/Canton, Ohio, USA","Portland, Maine, USA",601,12.96703297,124.9778814,US,128.7723288
CAK,PDX,20092,1270,71790,"Akron/Canton, Ohio, USA","Portland, Oregon, USA",2078,20,216.1474176,F9,190.8319444
CAK,PVD,20092,1270,73020,"Akron/Canton, Ohio, USA","Providence, Rhode Island, USA",524,10.32967033,148.5826596,US,153.4926471
CAK,RDU,20092,1270,74830,"Akron/Canton, Ohio, USA","Raleigh/Durham, North Carolina, USA",376,17.47252747,147.5347799,US,155.7360674
CAK,RIC,20092,1270,75820,"Akron/Canton, Ohio, USA","Richmond, Virginia, USA",323,10.54945055,134.7215625,US,133.4827778
CAK,SMF,20092,1270,77850,"Akron/Canton, Ohio, USA","Sacramento, California, USA",2123,17.03296703,225.8770968,F9,177.6055738
CAK,SAT,20092,1270,79360,"Akron/Canton, Ohio, USA","San Antonio, Texas, USA",1238,23.40659341,162.8774648,FL,140.845579
CAK,SAN,20092,1270,79520,"Akron/Canton, Ohio, USA","San Diego, California, USA",2045,32.74725275,197.4827517,F9,170.4851754
CAK,SFO,20092,1270,79830,"Akron/Canton, Ohio, USA","San Francisco, California, USA",2187,35.38461539,200.0929503,F9,184.4720732
CAK,SJC,20092,1270,80050,"Akron/Canton, Ohio, USA","San Jose, California, USA",2169,10.32967033,222.7321277,F9,197.3811364
CAK,SNA,20092,1270,80650,"Akron/Canton, Ohio, USA","Santa Ana, California, USA",2052,18.02197802,212.1564634,F9,194.6358333
CAK,SRQ,20092,1270,82080,"Akron/Canton, Ohio, USA","Sarasota/Bradenton, Florida, USA",934,26.92307692,151.4566122,FL,137.5968908
CAK,SAV,20092,1270,82340,"Akron/Canton, Ohio, USA","Savannah, Georgia, USA",606,27.14285714,188.4517814,DL,184.5734711
CAK,SEA,20092,1270,82630,"Akron/Canton, Ohio, USA","Seattle, Washington, USA",2055,39.12087912,195.938427,F9,177.7854128
CAK,TPA,20092,1270,87870,"Akron/Canton, Ohio, USA","Tampa, Florida, USA",894,311.7582418,121.188227,FL,118.7287327
CAK,TUS,20092,1270,91940,"Akron/Canton, Ohio, USA","Tucson, Arizona, USA",1740,10.65934066,198.1001031,F9,156.9219643
CAK,DCA,20092,1270,96460,"Akron/Canton, Ohio, USA","Washington, D.C., USA",274,35.38461539,148.3081367,US,142.1383099
CAK,PBI,20092,1270,97160,"Akron/Canton, Ohio, USA","West Palm Beach, Florida, USA",984,34.06593407,158.124,DL,161.8496154
CAK,ILM,20092,1270,97780,"Akron/Canton, Ohio, USA","Wilmington, North Carolina, USA",498,13.40659341,145.4859016,US,145.2613131
ABY,LGA,20092,1540,63760,"Albany, Georgia, USA","New York, New York, USA",859,11.97802198,222.1679817,DL,209.3663107
ABY,IAD,20092,1540,96460,"Albany, Georgia, USA","Washington, D.C., USA",647,16.81318681,259.1599346,DL,259.3669444
ALB,ABQ,20092,1580,1680,"Albany, New York, USA","Albuquerque, New Mexico, USA",1833,39.78021978,219.4750553,WN,233.9325294
ALB,AVL,20092,1580,5420,"Albany, New York, USA","Asheville, North Carolina, USA",688,13.73626374,157.43408,US,171.0972308
ALB,ATL,20092,1580,5850,"Albany, New York, USA","Atlanta, Georgia, USA",852,136.4835165,285.2576168,DL,313.6175448
ALB,AUS,20092,1580,6100,"Albany, New York, USA","Austin, Texas, USA",1577,65.6043956,199.0894305,WN,208.7024215
ALB,BWI,20092,1580,7220,"Albany, New York, USA","Baltimore, Maryland, USA",288,568.021978,104.0755736,WN,103.4379241
ALB,BHM,20092,1580,11030,"Albany, New York, USA","Birmingham, Alabama, USA",946,35.05494506,188.8107524,WN,194.4125
ALB,BUF,20092,1580,13730,"Albany, New York, USA","Buffalo, New York, USA",251,10.54945055,246.4835417,US,247.0735556
ALB,BUR,20092,1580,14070,"Albany, New York, USA","Glendale, California, USA",2457,13.2967033,226.2919008,WN,224.7359167
ALB,CHS,20092,1580,17900,"Albany, New York, USA","Charleston, South Carolina, USA",759,39.01098901,160.1988732,US,168.468
ALB,CLT,20092,1580,17960,"Albany, New York, USA","Charlotte, North Carolina, USA",646,116.1538462,197.8653926,US,215.7944087
ALB,MDW,20092,1580,18500,"Albany, New York, USA","Chicago, Illinois, USA",723,305.1648352,173.2847029,UA,175.8508171
ALB,CVG,20092,1580,19270,"Albany, New York, USA","Cincinnati, Ohio, USA",623,42.85714286,221.1720513,DL,218.5135015
ALB,CLE,20092,1580,19770,"Albany, New York, USA","Cleveland, Ohio, USA",424,14.3956044,196.6941985,WN,187.6795522
ALB,COS,20092,1580,20410,"Albany, New York, USA","Colorado Springs, Colorado, USA",1634,12.52747253,272.6575439,UA,268.3376829
ALB,CAE,20092,1580,20470,"Albany, New York, USA","Columbia, South Carolina, USA",725,27.91208791,151.2690945,US,157.5962112
ALB,CMH,20092,1580,20570,"Albany, New York, USA","Columbus, Ohio, USA",508,41.64835165,157.92,WN,163.5858824
ALB,DAL,20092,1580,23210,"Albany, New York, USA","Dallas/Ft.Worth, Texas, USA",1435,118.1318681,188.1137954,US,197.5600301
ALB,DAY,20092,1580,23680,"Albany, New York, USA","Dayton, Ohio, USA",576,11.42857143,179.3760577,US,194.5605263
ALB,DEN,20092,1580,24090,"Albany, New York, USA","Denver, Colorado, USA",1609,153.2967033,197.576767,UA,212.8262357
ALB,DTW,20092,1580,24260,"Albany, New York, USA","Detroit, Michigan, USA",488,89.89010989,197.7491565,NW,202.9109896
ALB,FLL,20092,1580,29420,"Albany, New York, USA","Ft. Lauderdale, Florida, USA",1204,265.3846154,160.1458634,WN,153.9362829
ALB,RSW,20092,1580,29540,"Albany, New York, USA","Ft. Myers, Florida, USA",1204,124.7252747,172.9025639,WN,172.3866071
ALB,GSO,20092,1580,33460,"Albany, New York, USA","Greensboro/High Point, Nc, USA",564,22.08791209,147.011393,US,159.66544
ALB,GSP,20092,1580,33530,"Albany, New York, USA","Greenville/Spartanburg, Sc, USA",706,35.4945055,145.7147059,US,144.9520952
ALB,HOU,20092,1580,37320,"Albany, New York, USA","Houston, Texas, USA",1495,102.1978022,217.902043,CO,205.2883095
ALB,HSV,20092,1580,37550,"Albany, New York, USA","Huntsville, Alabama, USA",895,12.85714286,183.5829915,US,214.5594643
ALB,IND,20092,1580,38490,"Albany, New York, USA","Indianapolis, Indiana, USA",682,56.48351648,140.4507588,US,159.4986667
ALB,JAN,20092,1580,40080,"Albany, New York, USA","Jackson/Vicksburg, Mississippi, USA",1144,10.76923077,198.1047959,DL,181.5132
ALB,JAX,20092,1580,40140,"Albany, New York, USA","Jacksonville, Florida, USA",951,80,174.649478,US,188.3772165
ALB,MCI,20092,1580,42650,"Albany, New York, USA","Kansas City, Missouri, USA",1115,53.84615385,178.980449,WN,202.2536879
ALB,TYS,20092,1580,45540,"Albany, New York, USA","Knoxville, Tennessee, USA",725,15.16483517,200.0958696,US,225.8556364
ALB,LAS,20092,1580,48880,"Albany, New York, USA","Las Vegas, Nevada, USA",2237,256.1538462,188.0073188,WN,190.9330405
ALB,LEX,20092,1580,49850,"Albany, New York, USA","Lexington/Frankfort, Kentucky, USA",655,18.35164835,141.6347904,US,141.5661905
ALB,LIT,20092,1580,50670,"Albany, New York, USA","Little Rock, Arkansas, USA",1135,19.12087912,182.3242529,DL,182.8707143
