originapt,destapt,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,fare_lg
CAK,LGA,20082,1270,63760,"Akron/Canton, Ohio, USA","New York, New York, USA",402,378.5714286,117.3912975,FL,114.3726339
CAK,MCO,20082,1270,66600,"Akron/Canton, Ohio, USA","Orlando, Florida, USA",860,276.5934066,139.8179738,FL,134.2282476
CAK,PNS,20082,1270,69380,"Akron/Canton, Ohio, USA","Pensacola, Florida, USA",789,38.57142857,170.6270655,FL,163.1807937
CAK,PHL,20082,1270,69880,"Akron/Canton, Ohio, USA","Philadelphia, Pennsylvania, USA",335,37.03296703,220.1846291,US,281.4145506
CAK,PHX,20082,1270,69980,"Akron/Canton, Ohio, USA","Phoenix, Arizona, USA",1754,62.08791209,188.532354,F9,165.654557
CAK,PDX,20082,1270,71790,"Akron/Canton, Ohio, USA","Portland, Oregon, USA",2078,23.62637363,234.4883721,F9,224.5293976
CAK,RDU,20082,1270,74830,"Akron/Canton, Ohio, USA","Raleigh/Durham, North Carolina, USA",376,16.7032967,173.4766447,DL,184.460566
CAK,SMF,20082,1270,77850,"Akron/Canton, Ohio, USA","Sacramento, California, USA",2123,16.81318681,219.2526797,F9,195.9569565
CAK,SLC,20082,1270,79070,"Akron/Canton, Ohio, USA","Salt Lake City, Utah, USA",1591,20,228.1424725,F9,188.0807547
CAK,SAT,20082,1270,79360,"Akron/Canton, Ohio, USA","San Antonio, Texas, USA",1238,14.94505495,205.32625,DL,214.99
CAK,SAN,20082,1270,79520,"Akron/Canton, Ohio, USA","San Diego, California, USA",2045,39.23076923,214.0180672,FL,176.9959184
CAK,SFO,20082,1270,79830,"Akron/Canton, Ohio, USA","San Francisco, California, USA",2187,35.16483517,205.8494375,DL,235.6582258
CAK,SNA,20082,1270,80650,"Akron/Canton, Ohio, USA","Santa Ana, California, USA",2052,13.73626374,238.67264,F9,210.779
CAK,SRQ,20082,1270,82080,"Akron/Canton, Ohio, USA","Sarasota/Bradenton, Florida, USA",934,29.45054945,158.4397015,FL,140.091218
CAK,SAV,20082,1270,82340,"Akron/Canton, Ohio, USA","Savannah, Georgia, USA",606,37.47252747,159.5309091,DL,153.3680822
CAK,SEA,20082,1270,82630,"Akron/Canton, Ohio, USA","Seattle, Washington, USA",2055,41.53846154,215.7812698,F9,219.9755682
CAK,TLH,20082,1270,87620,"Akron/Canton, Ohio, USA","Tallahassee, Florida, USA",743,10.87912088,229.800101,DL,219.9563514
CAK,TPA,20082,1270,87870,"Akron/Canton, Ohio, USA","Tampa, Florida, USA",894,278.1318681,130.8565587,FL,127.1470802
CAK,TUS,20082,1270,91940,"Akron/Canton, Ohio, USA","Tucson, Arizona, USA",1740,10.87912088,198.0370707,F9,191.5851667
CAK,PBI,20082,1270,97160,"Akron/Canton, Ohio, USA","West Palm Beach, Florida, USA",984,29.56043956,186.1289219,DL,181.2190625
CAK,ICT,20082,1270,97500,"Akron/Canton, Ohio, USA","Wichita, Kansas, USA",885,12.74725275,198.5848276,DL,216.87
CAK,ILM,20082,1270,97780,"Akron/Canton, Ohio, USA","Wilmington, North Carolina, USA",498,14.72527473,179.9000746,US,185.2239785
ABY,LGA,20082,1540,63760,"Albany, Georgia, USA","New York, New York, USA",859,14.17582418,227.5600775,DL,223.9092064
ABY,IAD,20082,1540,96460,"Albany, Georgia, USA","Washington, D.C., USA",647,19.45054945,282.0812994,DL,280.3401156
ALB,ABQ,20082,1580,1680,"Albany, New York, USA","Albuquerque, New Mexico, USA",1833,49.45054945,239.4491111,WN,251.8252047
ALB,AVL,20082,1580,5420,"Albany, New York, USA","Asheville, North Carolina, USA",688,14.3956044,204.8519847,US,262.1834483
ALB,ATL,20082,1580,5850,"Albany, New York, USA","Atlanta, Georgia, USA",852,147.6923077,360.5942411,DL,384.522207
ALB,AUS,20082,1580,6100,"Albany, New York, USA","Austin, Texas, USA",1577,67.8021978,226.8997245,WN,248.2690124
ALB,BWI,20082,1580,7220,"Albany, New York, USA","Baltimore, Maryland, USA",288,625.3846154,100.2872746,WN,98.80917766
ALB,BHM,20082,1580,11030,"Albany, New York, USA","Birmingham, Alabama, USA",946,39.12087912,220.7125843,WN,216.7627439
ALB,BOI,20082,1580,11800,"Albany, New York, USA","Boise, Idaho, USA",2121,10,266.7796703,UA,304.9632
ALB,BUF,20082,1580,13730,"Albany, New York, USA","Buffalo, New York, USA",251,13.18681319,233.9546667,US,231.2203509
ALB,BUR,20082,1580,14070,"Albany, New York, USA","Glendale, California, USA",2457,12.30769231,249.4926786,WN,226.82
ALB,CHS,20082,1580,17900,"Albany, New York, USA","Charleston, South Carolina, USA",759,32.74725275,214.380302,US,215.4617391
ALB,CLT,20082,1580,17960,"Albany, New York, USA","Charlotte, North Carolina, USA",646,121.2087912,234.7102448,US,252.2162484
ALB,MDW,20082,1580,18500,"Albany, New York, USA","Chicago, Illinois, USA",723,379.010989,199.8990403,UA,204.8203949
ALB,CVG,20082,1580,19270,"Albany, New York, USA","Cincinnati, Ohio, USA",623,43.62637363,336.0759698,DL,340.0071429
ALB,CLE,20082,1580,19770,"Albany, New York, USA","Cleveland, Ohio, USA",424,85.27472528,234.2251031,CO,245.5053065
ALB,COS,20082,1580,20410,"Albany, New York, USA","Colorado Springs, Colorado, USA",1634,11.64835165,267.0687736,UA,249.6891525
ALB,CAE,20082,1580,20470,"Albany, New York, USA","Columbia, South Carolina, USA",725,26.37362637,189.798375,US,197.6194958
