ocityname,dcityname,tbl,quart,origincity,destcity,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,orgapt,desapt
"Allentown/Bethlehem/Easton, PA","Sacramento, CA",Table 6,20113,30135,33192,2436,12.5,275.5375652,UA,48.69565217,278.0132143,UA,48.69565217,278.0132143,33,ABE,SMF
"Allentown/Bethlehem/Easton, PA","Tampa, FL",Table 6,20113,30135,33195,970,155.8695652,128.7043305,G4,74.19804742,110.9082895,G4,74.19804742,110.9082895,34,ABE,TPA
"Allentown/Bethlehem/Easton, PA","Kansas City, MO",Table 6,20113,30135,33198,1025,24.89130435,202.4070742,UA,29.25764192,206.1804478,DL,23.58078603,186.4007407,35,ABE,MCI
"Allentown/Bethlehem/Easton, PA","San Antonio, TX",Table 6,20113,30135,33214,1506,15.32608696,241.9934752,DL,31.20567376,244.7704546,AA,14.89361702,216.2552381,36,ABE,SAT
"Allentown/Bethlehem/Easton, PA","Memphis, TN",Table 6,20113,30135,33244,883,19.34782609,189.1814045,DL,46.62921348,187.5798795,UA,27.52808989,165.8240816,37,ABE,MEM
"Allentown/Bethlehem/Easton, PA","Omaha, NE",Table 6,20113,30135,33316,1068,10,228.5216304,DL,52.17391304,208.0566667,DL,52.17391304,208.0566667,38,ABE,OMA
"Allentown/Bethlehem/Easton, PA","Milwaukee, WI",Table 6,20113,30135,33342,662,26.52173913,156.4783607,DL,44.67213115,157.5751376,UA,41.80327869,141.2702941,39,ABE,MKE
"Allentown/Bethlehem/Easton, PA","Madison, WI",Table 6,20113,30135,33485,736,12.5,219.4270435,DL,36.52173913,220.9626191,UA,33.91304348,218.4397436,40,ABE,MSN
"Allentown/Bethlehem/Easton, PA","New Orleans, LA",Table 6,20113,30135,33495,1111,19.45652174,201.5639665,US,42.45810056,207.4072368,UA,16.75977654,181.2266667,41,ABE,MSY
"Allentown/Bethlehem/Easton, PA","San Diego, CA",Table 6,20113,30135,33570,2359,32.93478261,258.3633333,UA,38.28382838,234.0448276,AA,19.4719472,222.5805085,42,ABE,SAN
"Allentown/Bethlehem/Easton, PA","Pensacola, FL",Table 6,20113,30135,33728,963,12.17391304,195.4880357,DL,44.64285714,183.4104,DL,44.64285714,183.4104,43,ABE,PNS
"Allentown/Bethlehem/Easton, PA","West Palm Beach/Palm Beach, FL",Table 6,20113,30135,34027,999,13.58695652,185.89408,US,64.8,192.0362963,DL,29.6,180.8816216,44,ABE,PBI
"Allentown/Bethlehem/Easton, PA","Portland, OR",Table 6,20113,30135,34057,2374,11.63043478,364.2821495,UA,42.99065421,392.9171739,US,24.29906542,329.5580769,45,ABE,PDX
"Allentown/Bethlehem/Easton, PA","Raleigh/Durham, NC",Table 6,20113,30135,34492,376,22.17391304,156.5168628,US,55.39215686,155.7290266,US,55.39215686,155.7290266,46,ABE,RDU
"Allentown/Bethlehem/Easton, PA","Salt Lake City, UT",Table 6,20113,30135,34614,1904,15.86956522,355.2489726,DL,49.31506849,343.9590278,DL,49.31506849,343.9590278,47,ABE,SLC
"Allentown/Bethlehem/Easton, PA","Savannah, GA",Table 6,20113,30135,34685,669,12.5,226.883913,US,53.91304348,235.2664516,DL,19.13043478,218.8090909,48,ABE,SAV
"Allentown/Bethlehem/Easton, PA","Sanford, FL",Table 6,20113,30135,34761,882,159.4565217,94.1800818,G4,99.86366735,94.18864164,G4,99.86366735,94.18864164,49,ABE,SFB
"Allentown/Bethlehem/Easton, PA","Knoxville, TN",Table 6,20113,30135,35412,572,11.19565217,229.0580583,US,46.60194175,213.0920833,US,46.60194175,213.0920833,50,ABE,TYS
"Abilene, TX",Dallas/Fort Worth Area 4/,Table 6,20113,30136,30194,158,30.65217391,124.2979787,AA,100,124.2979787,AA,100,124.2979787,51,ABI,DFW
"Abilene, TX","Seattle, WA",Table 6,20113,30136,30559,1577,10.10869565,333.4669893,AA,96.77419355,332.7246667,AA,96.77419355,332.7246667,52,ABI,SEA
"Abilene, TX",Chicago Area 4/,Table 6,20113,30136,30977,924,12.2826087,300.3502655,AA,95.57522124,295.7597222,AA,95.57522124,295.7597222,53,ABI,CHI
"Abilene, TX","Houston, TX",Table 6,20113,30136,31453,323,16.63043478,202.556536,AA,97.38562092,203.6002685,AA,97.38562092,203.6002685,54,ABI,IAH
"Abilene, TX",New York Area 4/,Table 6,20113,30136,31703,1579,11.63043478,393.0731776,AA,93.45794393,388.9152,AA,93.45794393,388.9152,55,ABI,NYC
"Abilene, TX","Las Vegas, NV",Table 6,20113,30136,32211,920,15.54347826,297.2544056,AA,98.6013986,296.119078,AA,98.6013986,296.119078,56,ABI,LAS
"Abilene, TX","Sacramento, CA",Table 6,20113,30136,33192,1304,10,434.3747826,AA,95.65217391,426.9361364,AA,95.65217391,426.9361364,57,ABI,SMF
"Albuquerque, NM","Colorado Springs, CO",Table 6,20113,30140,30189,280,14.13043478,177.2272308,UA,51.53846154,193.8276119,F9,32.30769231,138.445,58,ABQ,COS
"Albuquerque, NM",Dallas/Fort Worth Area 4/,Table 6,20113,30140,30194,580,642.0652174,191.1284595,WN,66.58202133,186.445998,WN,66.58202133,186.445998,59,ABQ,DAL
"Albuquerque, NM","Pittsburgh, PA",Table 6,20113,30140,30198,1486,89.56521739,202.3151942,AA,35.80097087,187.5785763,UA,11.65048544,187.3122917,60,ABQ,PIT
"Albuquerque, NM","Augusta, GA",Table 6,20113,30140,30208,1412,10.54347826,327.5361856,DL,61.8556701,340.5815,AA,28.86597938,314.5335714,61,ABQ,AGS
"Albuquerque, NM","Huntsville, AL",Table 6,20113,30140,30255,1126,15.32608696,353.4547518,AA,60.28368794,336.3372941,DL,21.27659575,333.5763333,62,ABQ,HSV
"Albuquerque, NM","Albany, NY",Table 6,20113,30140,30257,1834,46.19565217,298.4830353,WN,69.88235294,288.3903704,WN,69.88235294,288.3903704,63,ABQ,ALB
"Albuquerque, NM","Denver, CO",Table 6,20113,30140,30325,349,635.326087,112.0228862,WN,41.26603935,108.0210779,F9,31.18905047,95.2540757,64,ABQ,DEN
"Albuquerque, NM","Atlanta, GA",Table 6,20113,30140,30397,1269,176.0869565,252.7227469,DL,68.82716049,261.2430224,F9,10.24691358,201.8651807,65,ABQ,ATL
"Albuquerque, NM","Austin, TX",Table 6,20113,30140,30423,619,184.2391304,205.9481003,WN,70.08849558,210.7281987,AA,19.8820059,190.7305638,66,ABQ,AUS
"Albuquerque, NM","Asheville, NC",Table 6,20113,30140,30431,1358,10.86956522,237.6113,DL,69,223.9708696,DL,69,223.9708696,67,ABQ,AVL
"Albuquerque, NM","Tucson, AZ",Table 6,20113,30140,30436,321,137.7173913,122.9590292,WN,95.3433307,121.5561176,WN,95.3433307,121.5561176,68,ABQ,TUS
"Albuquerque, NM","Phoenix, AZ",Table 6,20113,30140,30466,328,773.9130435,142.0745604,WN,86.53089888,142.8903409,US,13.41292135,136.7844922,69,ABQ,PHX
"Albuquerque, NM","Hartford, CT",Table 6,20113,30140,30529,1886,67.17391304,272.3224434,WN,38.99676375,270.9056017,AA,29.12621359,266.9897222,70,ABQ,BDL
"Albuquerque, NM","Seattle, WA",Table 6,20113,30140,30559,1180,365.8695652,216.1675223,WN,73.08377897,210.7825,F9,2.644087938,206.9897753,71,ABQ,SEA
"Albuquerque, NM","Birmingham, AL",Table 6,20113,30140,30599,1139,26.95652174,271.4604839,WN,63.70967742,262.1352532,WN,63.70967742,262.1352532,72,ABQ,BHM
"Albuquerque, NM","El Paso, TX",Table 6,20113,30140,30615,223,65.32608696,144.9442762,WN,100,144.9442762,WN,100,144.9442762,73,ABQ,ELP
"Albuquerque, NM","Billings, MT",Table 6,20113,30140,30620,750,21.41304348,233.9645178,DL,40.10152284,278.2643038,UA,30.96446701,189.3111475,74,ABQ,BIL
