originapt,destapt,tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
CAK,MEM,Table 6,20082,01270,57180,"Akron/Canton, Ohio, USA","Memphis, Tennessee, USA",617,24.945054945,211.47286344,DL,39.647577093,225.72066667,FL,28.634361233,191.20184615,33
CAK,MIA,Table 6,20082,01270,57560,"Akron/Canton, Ohio, USA","Miami, Florida, USA",1044,26.483516484,189.8026971,DL,46.473029046,184.02169643,FL,27.800829876,168.54179104,34
CAK,MKE,Table 6,20082,01270,57850,"Akron/Canton, Ohio, USA","Milwaukee, Wisconsin, USA",361,11.648351648,165.32792453,NW,79.245283019,170.94892857,DL,13.20754717,105.43857143,35
CAK,MSP,Table 6,20082,01270,57970,"Akron/Canton, Ohio, USA","Minneapolis/St.Paul, Minnesota, USA",657,14.175824176,329.84155039,UA,41.085271318,327.55943396,UA,41.085271318,327.55943396,36
CAK,MYR,Table 6,20082,01270,61830,"Akron/Canton, Ohio, USA","Myrtle Beach, South Carolina, USA",518,23.736263736,226.67189815,US,86.111111111,223.59473118,US,86.111111111,223.59473118,37
CAK,BNA,Table 6,20082,01270,62860,"Akron/Canton, Ohio, USA","Nashville, Tennessee, USA",435,15.604395604,167.77338028,NW,38.028169014,133.50055556,NW,38.028169014,133.50055556,38
CAK,MSY,Table 6,20082,01270,63580,"Akron/Canton, Ohio, USA","New Orleans, Louisiana, USA",901,22.967032967,205.37110048,FL,43.062200957,182.51022222,FL,43.062200957,182.51022222,39
CAK,LGA,Table 6,20082,01270,63760,"Akron/Canton, Ohio, USA","New York, New York, USA",402,378.57142857,117.39129753,FL,92.133526851,114.3726339,FL,92.133526851,114.3726339,40
CAK,MCO,Table 6,20082,01270,66600,"Akron/Canton, Ohio, USA","Orlando, Florida, USA",860,276.59340659,139.81797378,FL,87.286452126,134.22824761,FL,87.286452126,134.22824761,41
CAK,PNS,Table 6,20082,01270,69380,"Akron/Canton, Ohio, USA","Pensacola, Florida, USA",789,38.571428571,170.62706553,FL,53.846153846,163.18079365,FL,53.846153846,163.18079365,42
CAK,PHL,Table 6,20082,01270,69880,"Akron/Canton, Ohio, USA","Philadelphia, Pennsylvania, USA",335,37.032967033,220.18462908,US,52.818991098,281.41455056,NW,42.729970326,145.95291667,43
