ocityname,dcityname,tbl,quart,origincity,destcity,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,orgapt,desapt
"Allentown/Bethlehem/Easton, PA","Tampa, FL",Table 6,20114,30135,33195,970,122.0652174,148.5342297,G4,61.44256456,123.5944058,G4,61.44256456,123.5944058,33,ABE,TPA
"Allentown/Bethlehem/Easton, PA","Kansas City, MO",Table 6,20114,30135,33198,1025,21.30434783,233.5219388,US,33.67346939,238.2342424,DL,27.04081633,221.2050943,34,ABE,MCI
"Allentown/Bethlehem/Easton, PA","San Antonio, TX",Table 6,20114,30135,33214,1506,12.82608696,243.6074576,DL,52.54237288,250.7440323,UA,16.10169492,213.361579,35,ABE,SAT
"Allentown/Bethlehem/Easton, PA","Memphis, TN",Table 6,20114,30135,33244,883,19.7826087,226.7789011,DL,43.40659341,203.1189873,DL,43.40659341,203.1189873,36,ABE,MEM
"Allentown/Bethlehem/Easton, PA","Milwaukee, WI",Table 6,20114,30135,33342,662,17.7173913,183.502454,DL,56.44171779,176.7525,UA,20.85889571,171.7158824,37,ABE,MKE
"Allentown/Bethlehem/Easton, PA","New Orleans, LA",Table 6,20114,30135,33495,1111,16.19565217,242.3999329,US,40.26845638,259.626,UA,22.14765101,206.8563636,38,ABE,MSY
"Allentown/Bethlehem/Easton, PA","San Diego, CA",Table 6,20114,30135,33570,2359,22.93478261,315.4090995,UA,41.23222749,298.7363218,UA,41.23222749,298.7363218,39,ABE,SAN
"Allentown/Bethlehem/Easton, PA","West Palm Beach/Palm Beach, FL",Table 6,20114,30135,34027,999,19.02173913,205.2576,US,66.28571429,213.9559483,UA,14.85714286,157.7711539,40,ABE,PBI
"Allentown/Bethlehem/Easton, PA","Portland, OR",Table 6,20114,30135,34057,2374,10.43478261,274.611875,UA,28.125,281.6962963,CO,21.875,261.3371429,41,ABE,PDX
"Allentown/Bethlehem/Easton, PA","Raleigh/Durham, NC",Table 6,20114,30135,34492,376,19.45652174,170.3725698,US,72.62569832,174.7926923,UA,23.46368715,165.2321429,42,ABE,RDU
"Allentown/Bethlehem/Easton, PA","Tulsa, OK",Table 6,20114,30135,34653,1148,11.08695652,237.5517647,DL,40.19607843,217.2246342,DL,40.19607843,217.2246342,43,ABE,TUL
"Allentown/Bethlehem/Easton, PA","Savannah, GA",Table 6,20114,30135,34685,669,12.7173913,219.8339316,US,57.26495727,217.2104478,US,57.26495727,217.2104478,44,ABE,SAV
"Allentown/Bethlehem/Easton, PA","Sanford, FL",Table 6,20114,30135,34761,882,136.0869565,98.97404952,G4,100,98.97404952,G4,100,98.97404952,45,ABE,SFB
